,BSSE_QGF_204446,BSSE_QGF_204447,BSSE_QGF_204448,BSSE_QGF_204449,BSSE_QGF_204450,BSSE_QGF_204451,BSSE_QGF_204452,BSSE_QGF_204453,BSSE_QGF_204458,BSSE_QGF_204459,BSSE_QGF_204460,BSSE_QGF_204461,BSSE_QGF_204462,BSSE_QGF_204463,BSSE_QGF_204464,BSSE_QGF_204465
ENSG00000228572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000182378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000226179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000281849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000280767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000185960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LRG_710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000237531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000198223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000265658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000185291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000197976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000196433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000289620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000223511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000234622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000223773,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ENSG00000002586,1,0,0,0,0,2,3,0,1,0,0,0,0,0,0,0
LRG_1023,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0
ENSG00000124343,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
LRG_805,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
ENSG00000056998,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ENSG00000229851,0,1,0,0,1,4,0,1,0,2,1,0,1,0,3,1
ENSG00000205667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000062096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ENSG00000228459,0,3,2,3,2,2,0,2,5,0,0,2,6,0,2,3
ENSG00000213487,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ENSG00000207435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000182888,19,20,39,11,22,13,25,15,32,17,18,10,19,21,23,24
ENSG00000286431,27,32,7,40,20,60,16,37,23,32,5,45,57,54,73,83
ENSG00000225722,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,2
ENSG00000226313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000201660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000237490,1,2,1,0,1,2,2,1,3,3,3,1,1,0,1,0
ENSG00000101846,182,114,142,123,187,101,69,116,183,117,72,108,298,240,221,180
ENSG00000264268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000279682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000182583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000285679,8,5,25,27,1,9,13,12,4,8,5,7,12,5,22,14
ENSG00000207628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000205642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000200852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000219870,0,1,2,1,2,0,2,0,1,0,0,0,0,0,1,0
ENSG00000228543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000232111,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ENSG00000282306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000282501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000282358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000282668,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000282299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000282697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000282222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000281955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000281941,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ENSG00000282300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000101849,3308,3657,2850,3170,4194,5155,3855,4163,2486,2991,2303,2344,2961,4536,3651,3446
ENSG00000146950,2,2,0,0,0,0,0,0,1,1,0,0,1,0,0,0
ENSG00000234469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000047644,4415,4469,3588,5207,6092,5284,5107,5754,4504,4262,3445,4352,4513,5844,4055,5806
ENSG00000202469,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
ENSG00000073464,1,3,6,0,0,0,6,0,0,0,1,0,0,3,15,7
ENSG00000227042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000207202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000004961,594,420,870,415,831,565,805,563,606,449,521,403,630,600,816,444
ENSG00000275194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000125363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000005302,5576,5198,2515,5081,6043,6108,2942,6089,4624,5301,2017,4633,5941,6522,4155,5908
ENSG00000169933,0,0,0,3,3,0,1,2,5,5,1,1,3,4,0,2
ENSG00000206795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000101911,1123,826,2228,1343,1166,858,1956,887,1207,955,1584,937,1172,1040,2295,1053
ENSG00000229083,85,11,186,46,100,46,130,79,73,51,113,61,88,4,169,33
ENSG00000196664,1,1,2,52,0,0,6,1,4,0,4,4,2,1,6,2
ENSG00000101916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000205542,88721,81392,140417,105579,114789,99608,120442,103307,93024,85214,94903,80160,91307,113080,147085,104217
ENSG00000289596,1,1,2,2,5,5,7,6,0,6,10,3,3,2,11,7
ENSG00000261030,0,4,5,4,11,6,10,6,8,7,8,15,7,9,14,19
ENSG00000231216,0,0,2,18,3,0,8,0,0,0,1,0,0,0,6,1
ENSG00000235592,1,1,1,30,0,1,12,2,0,1,1,1,0,0,7,2
ENSG00000226985,0,1,9,84,4,5,28,14,1,0,0,5,1,0,22,11
ENSG00000198759,228,181,331,205,509,190,378,91,237,99,113,31,264,169,315,104
ENSG00000233357,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
ENSG00000283493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000199622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000176896,399,324,90,297,377,367,124,403,308,356,88,259,379,364,194,323
ENSG00000123595,403,331,869,469,643,678,686,681,407,408,717,439,460,449,792,532
ENSG00000046651,3082,2855,2140,3298,3815,3636,1921,3314,3676,4106,1665,3187,3780,2955,2462,2666
ENSG00000289449,29,3,6,16,18,6,10,18,28,23,4,23,49,5,1,6
ENSG00000233535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000233247,132,142,252,166,223,207,338,225,146,108,180,179,110,185,327,221
ENSG00000101958,0,0,0,0,1,3,0,0,2,0,0,0,4,0,0,0
ENSG00000130150,629,373,749,557,1049,899,918,919,913,996,691,857,661,465,684,552
ENSG00000102010,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
ENSG00000225833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000186312,214,224,396,285,280,259,325,238,211,173,205,180,287,477,390,449
ENSG00000169239,421,567,520,537,997,1204,499,1096,548,939,436,758,870,1071,638,748
ENSG00000200620,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
ENSG00000288680,2,1,0,1,1,1,0,0,0,2,0,0,1,1,0,0
ENSG00000169249,787,738,850,941,1041,812,698,912,802,757,520,614,1228,1438,1180,1181
LRG_618,666,660,794,846,905,734,618,809,661,676,478,550,1042,1311,1043,1063
ENSG00000289237,0,0,0,0,3,0,0,0,1,0,0,0,0,1,1,0
ENSG00000226536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000126010,4,9,1,5,0,8,3,3,4,3,3,8,1,4,0,9
ENSG00000182798,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0
ENSG00000169906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000169895,1047,946,2167,1161,1318,1261,1742,1331,1017,1038,1414,1087,1209,1330,2058,1405
ENSG00000238709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000086712,1214,709,1468,1115,1147,770,1081,1058,976,826,728,782,1620,1028,1614,1097
ENSG00000230180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000169891,2,4,0,4,0,2,0,0,3,4,1,3,0,0,0,0
ENSG00000214321,4,4,4,1,0,0,1,0,0,2,5,1,1,3,1,3
ENSG00000238764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000188158,358,243,1897,2208,330,298,523,138,333,192,697,406,278,557,1210,1443
ENSG00000265465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000235834,0,0,1,4,0,0,0,0,0,0,0,0,0,0,1,0
ENSG00000047634,35,8,58,8,3,0,15,1,9,2,18,3,32,5,23,11
ENSG00000225066,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0
ENSG00000235211,0,5,12,3,5,2,3,4,4,3,2,3,4,3,6,5
ENSG00000008086,51,39,27,32,70,63,27,28,77,66,28,35,49,29,40,37
ENSG00000236187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000086717,0,0,4,0,0,0,1,1,0,1,1,0,0,2,0,3
ENSG00000224224,32,19,57,15,39,40,76,32,26,12,42,25,24,33,70,32
ENSG00000237836,2,6,2,5,0,4,1,3,0,1,1,3,5,0,1,14
ENSG00000286724,22,22,11,29,29,27,25,27,27,16,10,32,12,32,30,28
ENSG00000131828,2138,2142,5351,2706,2862,2264,4127,2159,2209,1775,2849,1653,2132,2506,4372,2094
ENSG00000202144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000225037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000283400,0,3,1,1,0,0,0,1,0,0,0,1,0,0,2,0
ENSG00000252978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000283546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000206716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000149970,415,126,272,147,141,86,204,126,186,137,214,128,342,162,325,191
ENSG00000012174,451,316,671,598,604,420,595,479,450,382,522,354,524,420,769,445
ENSG00000230797,55,50,62,39,84,54,56,49,45,35,55,33,43,47,68,38
ENSG00000206639,0,1,0,2,0,0,0,0,0,0,0,0,2,0,0,0
ENSG00000271286,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
ENSG00000102172,1018,916,5199,1314,1377,1559,3554,1267,1114,1014,2886,1349,873,1290,3713,1616
ENSG00000102174,64,57,1815,1004,435,204,4783,955,476,128,2872,1250,87,82,2342,1637
ENSG00000175809,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ENSG00000224396,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0
ENSG00000201095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000237019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000184735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000174028,626,613,2626,1737,1219,770,2707,976,843,523,1983,794,749,933,2441,1251
ENSG00000228610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000165186,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
ENSG00000226774,1,6,7,4,6,3,7,4,2,2,2,1,3,6,9,5
ENSG00000123131,246,117,966,92,315,149,445,146,283,172,432,105,197,190,402,104
ENSG00000202272,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000130066,3018,4559,5453,8662,4097,6228,3272,6890,3167,5260,2897,5191,3149,4001,3448,5226
ENSG00000288706,345,735,783,1107,455,873,381,834,335,622,343,530,351,696,411,696
ENSG00000165182,0,0,0,1,2,1,5,1,0,0,1,0,0,0,0,1
ENSG00000130741,6117,4242,11580,6464,6369,5732,8747,5977,5237,4877,6538,4998,6977,6033,11500,7532
ENSG00000201407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000005889,1816,1587,1655,1678,2214,1807,1266,1743,1804,1675,985,1457,3031,2585,2093,2364
ENSG00000289472,3,1,0,2,3,3,0,2,2,6,3,0,11,10,6,2
ENSG00000223731,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
ENSG00000067992,2313,1676,4310,2316,2140,2247,3369,2418,1941,2071,2569,2261,2094,1505,3344,2340
ENSG00000214124,0,0,4,1,1,0,0,2,0,0,0,0,0,0,0,0
ENSG00000226222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000101868,1158,677,2938,596,1468,867,3033,596,1243,594,1588,657,934,876,3531,944
ENSG00000251869,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
ENSG00000214111,3,3,6,1,3,5,6,4,4,1,2,7,6,4,2,2
ENSG00000233403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000176774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000232446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000232030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000227511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000176746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000232644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000188408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000237171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000228464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000231388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000259849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000216938,0,1,0,0,1,0,2,0,0,3,0,1,0,0,1,0
ENSG00000236683,39,25,156,44,21,30,118,27,23,16,97,22,24,41,105,44
ENSG00000252491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000238247,30,50,115,53,46,55,92,63,42,54,71,33,55,45,74,64
ENSG00000189186,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0
ENSG00000177689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000229731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000226199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000228345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000233243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000169306,0,1,0,1,1,0,0,0,0,2,3,0,2,0,0,1
ENSG00000201666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000237994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000264090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000270794,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ENSG00000099399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000198798,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000120289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000214107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000178556,11,14,41,2,13,9,19,0,8,3,20,9,6,7,17,5
ENSG00000232368,580,616,1011,808,756,865,883,720,560,533,622,366,551,906,963,820
ENSG00000198814,482,440,1479,846,657,588,1038,953,558,523,1249,934,443,393,912,780
LRG_848,470,434,1455,832,650,580,1031,946,552,513,1231,910,439,391,896,770
ENSG00000229331,1,2,6,2,3,1,2,3,5,1,11,1,4,2,0,0
ENSG00000241886,37,32,109,80,29,41,54,61,25,29,66,71,22,30,27,69
ENSG00000231542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ENSG00000235512,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1
ENSG00000252903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000285900,2,0,0,0,2,0,0,2,0,1,0,0,0,2,0,0
ENSG00000222922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236285,4,5,12,5,8,2,8,6,7,4,14,11,3,1,16,6
ENSG00000236828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000226781,367,295,905,343,530,458,642,537,388,434,488,402,378,362,788,451
ENSG00000215310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000233928,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
ENSG00000185638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000271136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000189132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000229347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000252411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000230227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000233663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000271088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000233880,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ENSG00000189023,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ENSG00000271519,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1
ENSG00000165164,1,0,0,2,1,0,0,1,0,0,1,2,3,0,1,0
ENSG00000229384,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0
ENSG00000249467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000235510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000198173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000233810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000130962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000250349,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ENSG00000241607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000219186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000234355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000147036,23,18,20,2,114,78,62,83,75,74,61,51,106,67,71,33
ENSG00000047597,3,0,2,1,4,1,4,2,1,1,9,1,1,1,3,0
LRG_812,3,0,2,1,4,1,4,2,1,1,9,1,1,1,3,0
ENSG00000285944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LRG_53,0,0,1,0,4,1,0,0,2,0,0,0,1,1,0,1
ENSG00000165168,0,0,1,0,4,1,0,0,2,0,0,0,1,1,0,1
ENSG00000206983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000259977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000224339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000187516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000229674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000147041,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
ENSG00000226679,0,1,0,0,0,0,1,2,0,2,0,0,1,1,0,0
ENSG00000036473,0,0,0,0,0,0,2,2,1,0,0,1,0,0,1,1
LRG_846,0,0,0,0,0,0,2,2,1,0,0,1,0,0,1,1
ENSG00000232370,0,0,0,2,0,0,0,2,0,0,0,0,1,3,2,0
ENSG00000156298,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0
ENSG00000238606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000235806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000165175,1388,1379,2899,2924,1237,1490,2319,1757,1000,1193,1690,1167,1135,1713,2330,2244
ENSG00000289127,0,1,0,5,0,2,0,1,0,0,0,0,0,0,1,4
ENSG00000289068,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
ENSG00000263730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000263972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000214047,19,12,27,24,18,14,24,21,14,18,28,23,12,13,21,21
ENSG00000285709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000289122,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1
ENSG00000223486,0,0,3,7,0,0,2,0,0,0,1,0,0,0,1,0
ENSG00000288856,24,44,26,56,46,79,48,55,31,46,31,45,17,58,53,83
ENSG00000236393,0,1,0,0,4,0,1,1,0,0,0,0,0,1,0,2
ENSG00000206677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000235685,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0
ENSG00000182220,3047,2145,3013,2724,3727,2918,2728,3406,2968,2723,2137,2364,3371,2610,3014,2627
ENSG00000238205,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
ENSG00000234636,9,5,6,1,4,10,7,12,2,11,3,5,3,5,6,2
ENSG00000270791,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0
ENSG00000238222,17,19,13,23,12,24,26,30,24,32,16,29,13,32,16,11
ENSG00000189145,1,3,1,1,0,0,1,0,2,0,0,0,1,1,0,1
ENSG00000237931,1,0,6,1,2,0,6,1,1,0,7,0,1,1,4,1
ENSG00000124486,6533,5372,7850,7365,7586,6909,7330,6829,6401,6549,5869,6026,7668,6799,8864,7484
ENSG00000223714,0,1,1,6,0,0,3,0,1,1,1,1,0,5,0,4
ENSG00000199564,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ENSG00000238426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000215301,17138,13281,14795,18634,19365,15379,13410,19000,17263,16145,10236,15063,26488,20721,20130,22883
ENSG00000188937,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
ENSG00000233033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000171659,60,9,7,7,15,4,3,5,28,14,13,7,46,19,30,41
ENSG00000171657,26,8,12,35,10,2,12,4,13,7,13,23,23,7,46,22
ENSG00000229822,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000231772,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
ENSG00000283737,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0
ENSG00000270280,2,0,0,0,0,0,1,0,0,0,0,0,2,0,0,2
ENSG00000224294,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
ENSG00000285899,0,0,1,1,0,1,0,1,0,1,0,0,0,2,0,0
ENSG00000189221,4,0,279,18,7,8,192,14,0,3,85,5,9,5,89,14
ENSG00000236276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000214019,748,614,703,816,911,830,545,1097,713,776,468,751,756,646,590,816
ENSG00000198414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000200702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000224054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000233543,3,2,19,17,2,9,6,1,5,4,7,1,1,8,7,10
ENSG00000229168,1,1,1,2,0,3,5,1,4,0,5,3,1,1,3,3
ENSG00000214016,301,298,880,349,323,398,757,348,235,297,503,338,283,329,845,561
ENSG00000189037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LRG_616,1639,1650,1413,2070,2349,2019,1489,2133,1795,1890,1146,1614,3076,3119,2573,3084
ENSG00000147050,1733,1725,1521,2181,2455,2142,1555,2272,1881,1980,1215,1731,3290,3219,2677,3228
ENSG00000229491,0,0,0,0,1,0,0,0,3,0,0,0,0,1,0,0
ENSG00000229563,0,0,0,1,0,5,3,2,2,3,0,3,2,0,9,1
ENSG00000204915,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
ENSG00000215286,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1
ENSG00000213100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000147121,748,717,785,881,903,845,487,996,722,901,391,725,817,786,645,776
ENSG00000199226,6,3,1,0,2,1,1,7,3,0,1,0,1,0,0,0
ENSG00000230844,198,143,244,149,290,189,329,236,201,162,206,151,178,200,285,146
ENSG00000147119,59,106,143,83,165,167,190,152,103,165,196,137,91,153,162,116
ENSG00000102218,618,536,538,536,992,699,575,538,713,591,441,509,789,728,723,676
ENSG00000102221,3,4,52,7,18,0,16,1,5,1,18,2,9,1,25,1
ENSG00000130988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000206685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000288759,14,18,28,19,26,12,33,19,20,14,22,7,17,21,30,24
ENSG00000201659,4,0,7,2,4,4,2,4,5,4,3,0,1,0,3,2
ENSG00000182872,2863,2969,5154,3063,3472,3188,4594,3191,2488,2431,3358,1995,2487,4201,4051,3428
ENSG00000130985,9446,9196,18649,9730,12073,10510,16789,9770,8991,7792,12408,7224,10674,15504,19760,12673
ENSG00000224975,112,75,45,122,116,86,44,86,79,80,34,58,137,120,60,99
ENSG00000102225,2009,1811,3249,1824,2334,2066,2864,1843,1728,1498,2165,1342,1894,2731,3042,2035
ENSG00000102226,2415,2279,2920,2954,2784,2933,3519,3146,1991,1919,2691,1836,2221,3117,2879,2773
ENSG00000203402,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
ENSG00000147117,15,7,12,12,18,9,11,8,6,7,8,3,9,8,5,6
ENSG00000221459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
